site_id,site_name,site_location,address,Lat,Lon,description,geometry
1,Mobile,3rd @ Girard,,39.969770000000004,-75.14152,Mobile Site,POINT (-75.14152 39.96977)
2,Mobile,10th @ Fairmount,,39.96537,-75.1541,Mobile Site ,POINT (-75.1541 39.96537)
3,Mobile,11th @ Indiana,,39.99781,-75.14824,Mobile Site,POINT (-75.14824 39.99781)
4,Mobile,13th @ Washington,,39.93761,-75.16459,Mobile Site,POINT (-75.16459 39.93761)
5,Headquarters - Friday,2913-15 Kensington Ave,2913-15 Kensington Ave,39.992885,-75.119643,In Building Exchange,POINT (-75.119643 39.992885)
6,Mobile,37th @ Brown,,39.96808,-75.1968,Mobile Site,POINT (-75.1968 39.96808)
7,Headquarters - Monday,2913-15 Kensington Ave,2913-15 Kensington Ave,39.992885,-75.119643,Emergency Packs,POINT (-75.119643 39.992885)
8,Headquarters - Wednesday,"2913-15 Kensington Ave, Philadelphia, PA 19134",2913-15 Kensington Ave,39.992885,-75.119643,Emergency Packs,POINT (-75.119643 39.992885)
9,Mobile,Broad @ Passyunk,,39.92557,-75.16941,Mobile Site,POINT (-75.16941 39.92557)
10,Mobile,54th @ Market,,39.960390000000004,-75.22865999999999,Mobile Site,POINT (-75.22865999999999 39.96039)
11,Mobile,Bridge @ Platt,,39.89844,-75.33039000000001,Mobile Site,POINT (-75.33039000000001 39.89844)
12,Headquarters - Tuesday,2913-15 Kensington Ave,2913-15 Kensington Ave,39.992885,-75.119643,In Building Exchange,POINT (-75.119643 39.992885)
13,Headquarters - Thursday,2913-15 Kensington Ave,2913-15 Kensington Ave,39.992885,-75.119643,Emergency Packs,POINT (-75.119643 39.992885)
14,Mobile,Front @ Wolf,,39.91915,-75.14889000000001,Mobile Site,POINT (-75.14889000000001 39.91915)
15,Mobile,Ben Franklin,,39.960957,-75.174247,Mobile Site,POINT (-75.17424699999999 39.960957)
16,Mobile,Front @ Wolf,,39.91915,-75.14889000000001,Mobile Site,POINT (-75.14889000000001 39.91915)
17,PPP Program,MCM,2913 Kensington Ave,39.992885,-75.119643,Case management for HIV positive individuals,POINT (-75.119643 39.992885)
18,PPP Program,Drop CM,2913 Kensington Ave,39.992885,-75.119643,Case management for individuals coming in to our drop-in center,POINT (-75.119643 39.992885)
19,PPP Program,STEP,2913 Kensington Ave,39.992885,-75.119643,In building Suboxone program ,POINT (-75.119643 39.992885)
20,PPP Program,Nav Center,2913 Kensington Ave,39.992885,-75.119643,Shelter,POINT (-75.119643 39.992885)
21,PPP Program,Respite,2913 Kensington Ave,39.992885,-75.119643,Shelter,POINT (-75.119643 39.992885)
22,PPP Program,Testing,2913 Kensington Ave,39.992885,-75.119643,HIV/HCV Testing,POINT (-75.119643 39.992885)
23,PPP Program,Mobile STEP,2913 Kensington Ave,39.992885,-75.119643,Mobile Suboxone program,POINT (-75.119643 39.992885)
24,PPP Partners,SOL Collective,19134,39.992885,-75.119643,Partner Oganization that does on foot outreach/syringe distribution,POINT (-75.119643 39.992885)
25,PPP Partners,Project SAFE,19134,39.992885,-75.119643,FSW focused harm reduction organization,POINT (-75.119643 39.992885)
26,PPP Program,Wound Care,2913 Kensington Ave,39.992885,-75.119643,Wound care operates out of mobile Suboxone clinic in Kensington,POINT (-75.119643 39.992885)
