,site_id,visit_month,syringes_returned,syringes_dispensed,no_exchanging_for
0,1.0,2019-01-01,5625.0,6175.0,48.0
1,1.0,2019-02-01,12700.0,13960.0,89.0
2,1.0,2019-03-01,8862.0,10470.0,76.0
3,1.0,2019-04-01,6130.0,7070.0,64.0
4,1.0,2019-05-01,9369.0,9830.0,66.0
5,1.0,2019-06-01,11550.0,11980.0,81.0
6,1.0,2019-08-01,9772.0,10290.0,73.0
7,1.0,2019-09-01,8673.0,8940.0,62.0
8,1.0,2019-10-01,9960.0,10690.0,62.0
9,1.0,2019-11-01,8287.0,11040.0,85.0
10,1.0,2019-12-01,6550.0,7710.0,56.0
11,2.0,2019-01-01,5106.0,5290.0,41.0
12,2.0,2019-02-01,10750.0,10820.0,43.0
13,2.0,2019-03-01,6210.0,6620.0,40.0
14,2.0,2019-04-01,5150.0,5150.0,33.0
15,2.0,2019-05-01,4445.0,5420.0,36.0
16,2.0,2019-06-01,4010.0,4190.0,40.0
17,2.0,2019-08-01,4360.0,4600.0,32.0
18,2.0,2019-09-01,4350.0,4610.0,29.0
19,2.0,2019-10-01,4475.0,5340.0,47.0
20,2.0,2019-11-01,4790.0,5750.0,50.0
21,2.0,2019-12-01,5150.0,5020.0,34.0
22,3.0,2019-01-01,12049.0,13800.0,117.0
23,3.0,2019-02-01,7550.0,7720.0,102.0
24,3.0,2019-03-01,9750.0,10761.0,120.0
25,3.0,2019-04-01,8311.0,9130.0,91.0
26,3.0,2019-05-01,13400.0,14180.0,117.0
27,3.0,2019-06-01,6370.0,6730.0,105.0
28,3.0,2019-08-01,7156.0,8330.0,89.0
29,3.0,2019-09-01,7160.0,8254.0,65.0
30,3.0,2019-10-01,8480.0,9260.0,56.0
31,3.0,2019-11-01,7715.0,9040.0,76.0
32,3.0,2019-12-01,4981.0,5570.0,44.0
33,4.0,2019-01-01,14490.0,16150.0,99.0
34,4.0,2019-02-01,6780.0,7010.0,41.0
35,4.0,2019-03-01,9295.0,9865.0,93.0
36,4.0,2019-04-01,5815.0,6580.0,66.0
37,4.0,2019-05-01,7636.0,8090.0,69.0
38,4.0,2019-06-01,10065.0,14030.0,58.0
39,4.0,2019-07-01,0.0,260.0,24.0
40,4.0,2019-08-01,10513.0,11066.0,72.0
41,4.0,2019-09-01,11230.0,11835.0,72.0
42,4.0,2019-10-01,11940.0,13410.0,70.0
43,4.0,2019-11-01,10790.0,13280.0,63.0
44,4.0,2019-12-01,4290.0,5330.0,30.0
45,5.0,2019-01-01,186500.0,199490.0,1501.0
46,5.0,2019-02-01,169535.0,180570.0,1444.0
47,5.0,2019-03-01,259530.0,265700.0,1729.0
48,5.0,2019-04-01,204781.0,215975.0,1257.0
49,5.0,2019-05-01,244030.0,256160.0,1580.0
50,5.0,2019-06-01,241545.0,252935.0,1632.0
51,5.0,2019-07-01,142480.0,148890.0,1104.0
52,5.0,2019-08-01,257970.0,265580.0,1629.0
53,5.0,2019-09-01,214250.0,225580.0,1483.0
54,5.0,2019-10-01,259790.0,273411.0,1627.0
55,5.0,2019-11-01,248800.0,274345.0,1796.0
56,5.0,2019-12-01,169105.0,189375.0,1238.0
57,6.0,2019-01-01,4046.0,4590.0,54.0
58,6.0,2019-02-01,1550.0,1610.0,19.0
59,6.0,2019-03-01,4015.0,4115.0,70.0
60,6.0,2019-04-01,2120.0,2310.0,37.0
61,6.0,2019-05-01,4033.0,4550.0,37.0
62,6.0,2019-06-01,1710.0,1900.0,37.0
63,6.0,2019-07-01,992.0,1000.0,7.0
64,6.0,2019-08-01,2130.0,2220.0,32.0
